"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","auc","accuracy"
"city",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0148888888888889,0.985111111111111,0.5,0.686050712591215,0,7.39955133466189,3,64.2611474245863,0.0226413962201026,0.347725460906302,1,0.0774171359975178,0.111689318183445,0.0812780357765567,0.117259419148034,0.15853091855716,0.000164253216914596,471.327974281142,493.833753051042,0.0148888888888889,0.984,0.958666666666667,"RF","SVM"
"mountain",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0682222222222222,0.931777777777778,0.5,0.61062598926465,0,8.99355711479538,3,96.4551948650632,0.0207912168502007,0.440600172059996,1,0.24901592144813,0.359254034975613,0.0812780357765567,0.117259419148034,0.329936124889069,0.000357832335617347,695.901115304512,226.139997385459,0.168,0.935777777777778,0.895777777777778,"RF","SVM"
"sky",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.196222222222222,0.803777777777778,0.5,0.429606653280894,0,9.39804051814912,3,112.745223266279,0.0188257671506,0.518832504758125,1,0.495120499957515,0.71430788993117,0.0812780357765567,0.117259419148034,0.575806569435369,0.000591966298701554,836.399810333012,136.301795650928,0.522444444444444,0.840666666666667,0.706666666666667,"RF","NB"
"sun",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0224444444444444,0.977555555555556,0.5,0.675365543453285,0,7.90694235504961,3,73.5418453084947,0.0200418949092264,0.615301290530757,1,0.107405757177526,0.154953753242941,0.0812780357765567,0.117259419148034,0.188197785596178,0.000486007357904312,220.996154545201,166.236224832134,0.0224444444444444,0.980666666666667,0.946888888888889,"RF","SVM"
"water",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.223111111111111,0.776888888888889,0.5,0.391580021937084,0,8.96180811283179,3,98.415253202317,0.0191986281731332,0.46204486020661,1,0.530817482598506,0.765807749762028,0.0812780357765567,0.117259419148034,0.611721822838094,0.000373695536968196,1420.45443439075,216.498010374885,0.511333333333333,0.803777777777778,0.720222222222222,"RF","NB"
"clouds",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0564444444444444,0.943555555555556,0.5,0.6272822823326,0,8.79633205233071,3,90.6980367599654,0.0211708215309108,0.456810151452662,1,0.21707007512013,0.313165920901207,0.0812780357765567,0.117259419148034,0.298003746676211,0.000344364220475673,630.35025770183,235.023462786833,0.0593333333333333,0.940666666666667,0.910666666666667,"RF","SVM"
"tree",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.189777777777778,0.810222222222222,0.5,0.438720474016187,0,8.86462821853189,3,93.4188149935479,0.0196030054895165,0.43994676030357,1,0.485900579692765,0.701006356687825,0.0812780357765567,0.117259419148034,0.566895291645137,0.000283323824183639,1715.00078079499,285.873283638426,0.505777777777778,0.826444444444444,0.768222222222222,"RF","NB"
"lake",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00311111111111111,0.996888888888889,0.5,0.702707005659165,0,5.84798182668861,3,48.7831559870188,0.0208378125038906,0.367457361736285,1,0.0210660120997037,0.0303918311875494,0.0812780357765567,0.117259419148034,0.102250627938996,9.34199372643775e-05,225.49803303857,869.0287985266,0.00311111111111111,0.998666666666667,0.996222222222222,"SVM","SVM"
"sea",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00955555555555555,0.990444444444444,0.5,0.693593184923871,0,7.01652871181524,3,59.4070207052048,0.0218292531270027,0.384523078826583,1,0.0539491329144948,0.0778321465160011,0.0812780357765567,0.117259419148034,0.135050378122305,0.000176790568745854,305.158432925512,458.741921490158,0.00955555555555555,0.983333333333333,0.972666666666667,"RF","SVM"
"beach",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0393333333333333,0.960666666666667,0.5,0.651481047733206,0,8.48951322649965,3,83.6630911899204,0.0225160106756343,0.422406404628934,1,0.165819627073136,0.23922715366047,0.0812780357765567,0.117259419148034,0.246888508311376,0.000209154538316124,792.809127681991,387.602783525119,0.0395555555555556,0.962444444444444,0.956,"RF","SVM"
"boats",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0344444444444444,0.965555555555556,0.5,0.658394980704808,0,8.32147199614582,3,79.964188461197,0.0226545997569577,0.341876923845984,1,0.149867230885793,0.216212710790694,0.0812780357765567,0.117259419148034,0.230968772017884,0.000176494644464787,849.131889187112,459.512759596921,0.0344444444444444,0.963333333333333,0.944222222222222,"RF","SVM"
"people",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.148888888888889,0.851111111111111,0.5,0.49654609523322,0,9.06915639293269,3,99.3626434424701,0.019787650850048,0.46031717579126,1,0.420776901974627,0.607052749799417,0.0812780357765567,0.117259419148034,0.501632962997559,0.000421974753624754,997.161319155145,191.613503718837,0.615111111111111,0.862222222222222,0.739555555555556,"RF","NB"
"branch",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0173333333333333,0.982666666666667,0.5,0.682593746105414,0,7.81130563840473,3,70.6197085302234,0.0226121127652167,0.405156993569203,1,0.0874710489429678,0.126194048531375,0.0812780357765567,0.117259419148034,0.168568154543135,0.000180930176389253,483.451963009104,448.223216373234,0.0173333333333333,0.978888888888889,0.961777777777778,"RF","SVM"
"leaf",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0302222222222222,0.969777777777778,0.5,0.664366104634827,0,8.59484218223314,3,88.3556914182149,0.0211445159674947,0.581539058045622,1,0.135513788077784,0.195505070031897,0.0812780357765567,0.117259419148034,0.216274690278075,0.000517133576265658,262.047939444119,156.170293144538,0.0302222222222222,0.972444444444444,0.930444444444444,"RF","SVM"
"grass",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0991111111111111,0.900888888888889,0.5,0.566942503671347,0,9.25062732558739,3,103.91481362125,0.0197953501112674,0.422646967511995,1,0.323125483690106,0.466171532904563,0.0812780357765567,0.117259419148034,0.404047074235936,0.000356445230725956,906.522112897991,227.023911586701,0.464666666666667,0.900888888888889,0.866222222222222,"RF","NB"
"palm",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00622222222222222,0.993777777777778,0.5,0.698307230131782,0,6.5121753848888,3,54.0090230151881,0.0229859357348605,0.362407760039159,1,0.0378093991746944,0.0545474326883229,0.0812780357765567,0.117259419148034,0.118961794544275,0.000125640406976285,300.933434431099,645.910000792168,0.00622222222222222,0.991555555555556,0.993111111111111,"RF","SVM"
"horizon",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0131111111111111,0.986888888888889,0.5,0.688564870035434,0,7.38537016816355,3,63.8864568256866,0.0233189289268044,0.374603727658978,1,0.0698522087489319,0.100775435157225,0.0812780357765567,0.117259419148034,0.150973705528532,0.000156538996956301,446.228799897267,518.219091452632,0.0131111111111111,0.984222222222222,0.978444444444444,"SVM","SVM"
"hills",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0251111111111111,0.974888888888889,0.5,0.671594307286956,0,8.05121146018008,3,74.5102371980274,0.0230583177830236,0.373713745977475,1,0.117313658662706,0.169247833581226,0.0812780357765567,0.117259419148034,0.198417187931399,0.00017450650786372,672.259505383726,464.759339130379,0.0251111111111111,0.974,0.966444444444444,"RF","SVM"
"waves",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.01,0.99,0.5,0.692964645562817,0,6.94592625870945,3,58.6115268370407,0.0221808088649006,0.359937118383709,1,0.0560015343548468,0.0807931358959104,0.0812780357765567,0.117259419148034,0.137129232977137,0.00015033715426601,372.506281818773,539.638381598878,0.01,0.989333333333333,0.968444444444444,"SVM","SVM"
"birds",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0397777777777778,0.960222222222222,0.5,0.650852508372151,0,8.7045449936738,3,89.8842104567705,0.0211091111859975,0.483133876040845,1,0.167237269401216,0.241272379216946,0.0812780357765567,0.117259419148034,0.24821308302792,0.000302222149853089,553.358744494771,267.934741600065,0.0397777777777778,0.963777777777778,0.928,"SVM","SVM"
"land",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00333333333333333,0.996666666666667,0.5,0.702392735978637,0,5.89607432096962,3,49.1628187713027,0.0185381309846571,0.367692720017143,1,0.0223403798434845,0.0322303552117708,0.0812780357765567,0.117259419148034,0.103526360490889,9.20551291523655e-05,242.684791702456,881.927833842142,0.00333333333333333,0.991111111111111,0.992,"SVM","SVM"
"bridge",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0273333333333333,0.972666666666667,0.5,0.668451610481683,0,8.13016467514728,3,76.2678071391054,0.0234811654940806,0.420006796958317,1,0.125346714403888,0.180837083262214,0.0812780357765567,0.117259419148034,0.206395203675733,0.000229546504711049,546.062396208876,353.080912183214,0.0273333333333333,0.974444444444444,0.945111111111111,"RF","NB"
"ships",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00466666666666667,0.995333333333333,0.5,0.700507117895473,0,6.26195894852952,3,51.7449516339558,0.0215807672560411,0.331430632116354,1,0.0297032085773701,0.0428526717130623,0.0812780357765567,0.117259419148034,0.110883745708223,9.74986457032055e-05,304.652524792901,832.632459100758,0.00466666666666667,0.995333333333333,0.992888888888889,"SVM","SVM"
"buildings",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0906666666666667,0.909333333333333,0.5,0.578884751531387,0,8.9431300119391,3,95.7778239750342,0.0206741610062372,0.394439528244209,1,0.304077539062067,0.438691157650565,0.0812780357765567,0.117259419148034,0.385120803616774,0.00023477122185023,1295.20789075269,345.201017041208,0.311777777777778,0.912,0.870444444444444,"RF","NB"
"fence",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00777777777777778,0.992222222222222,0.5,0.69610734236809,0,6.69737631820673,3,55.8505604841777,0.022878144895229,0.339797023092913,1,0.045520110250866,0.0656716373196432,0.0812780357765567,0.117259419148034,0.126667796710313,0.00013034931710971,349.216330857749,622.540173272626,0.00777777777777778,0.990666666666667,0.989777777777778,"RF","SVM"
"island",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00688888888888889,0.993111111111111,0.5,0.697364421090199,0,6.62508486031763,3,55.0778244728693,0.022927482628653,0.373853824380046,1,0.0411569301756032,0.059376899062556,0.0812780357765567,0.117259419148034,0.122308287535068,0.000126678417091316,324.892993776005,640.609183654129,0.00688888888888889,0.991777777777778,0.980222222222222,"SVM","SVM"
"jet",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0326666666666667,0.967333333333333,0.5,0.660909138149027,0,8.53536471553724,3,84.2517526927194,0.0199106211232834,0.481578679841015,1,0.143892940728717,0.20759363200825,0.0812780357765567,0.117259419148034,0.224774476839944,0.000396499665329881,362.908101344804,203.988913947594,0.0326666666666667,0.97,0.855333333333333,"SVM","SVM"
"plane",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0442222222222222,0.955777777777778,0.5,0.644567114761604,0,8.90515542892855,3,92.2941561732414,0.0199464777112937,0.502081995976874,1,0.181137910442184,0.261326765111927,0.0812780357765567,0.117259419148034,0.26196618384954,0.000449762369200197,402.741364877407,179.713286265127,0.0442222222222222,0.961111111111111,0.833777777777778,"SVM","SVM"
"runway",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00644444444444444,0.993555555555556,0.5,0.697992960451254,0,6.56829754876117,3,54.5297753946353,0.0224340256879327,0.359267227996501,1,0.03893287171136,0.0561682609455452,0.0812780357765567,0.117259419148034,0.120085216991952,0.000125690495964198,309.75191411807,645.652200335878,0.00644444444444444,0.991555555555556,0.992222222222222,"SVM","SVM"
"flight",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00666666666666667,0.993333333333333,0.5,0.697678690770727,0,6.56051284061384,3,54.5170257175385,0.0193437223868715,0.357808455163789,1,0.0400486301904337,0.0577779601701347,0.0812780357765567,0.117259419148034,0.121187743249534,0.000138922717456201,288.279922274484,584.059357208312,0.00666666666666667,0.990888888888889,0.974666666666667,"SVM","SVM"
"flag",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00466666666666667,0.995333333333333,0.5,0.700507117895473,0,6.28429919086604,3,52.05617015157,0.021276636836372,0.366348888295371,1,0.0297032085773701,0.0428526717130623,0.0812780357765567,0.117259419148034,0.110881423125419,9.98212285078457e-05,297.56404545788,813.235979575912,0.00466666666666667,0.997111111111111,0.978444444444444,"SVM","SVM"
"prop",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00466666666666667,0.995333333333333,0.5,0.700507117895473,0,6.20843138964897,3,51.3696644347534,0.0184449133273454,0.355669241834505,1,0.0297032085773701,0.0428526717130623,0.0812780357765567,0.117259419148034,0.110875169690071,0.000106074663856002,280.021708272322,765.234205435642,0.00466666666666667,0.988888888888889,0.975777777777778,"SVM","SVM"
"f-16",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00266666666666667,0.997333333333333,0.5,0.703335545020219,0,5.71290926171296,3,47.9425514545993,0.0179812211971842,0.312284761864156,1,0.0184682440156507,0.0266440440553066,0.0812780357765567,0.117259419148034,0.0996737819136069,7.24978786004985e-05,254.741854136456,1120.1091599582,0.00266666666666667,0.994222222222222,0.994,"SVM","SVM"
"tails",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00266666666666667,0.997333333333333,0.5,0.703335545020219,0,5.77467883781831,3,48.2384763051996,0.0198133564044065,0.317640117330391,1,0.0184682440156507,0.0266440440553066,0.0812780357765567,0.117259419148034,0.0996747723331859,7.15074590215731e-05,258.27017584388,1135.63716888662,0.00266666666666667,0.996888888888889,0.996666666666667,"SVM","SVM"
"smoke",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00977777777777778,0.990222222222222,0.5,0.693278915243344,0,7.0338301797025,3,59.4246517492911,0.0231626702458142,0.370216238928755,1,0.0549778840398041,0.0793163206627938,0.0812780357765567,0.117259419148034,0.136101193093856,0.000154726722505115,355.322488253357,524.300571618261,0.00977777777777778,0.989111111111111,0.988222222222222,"RF","SVM"
"formation",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00533333333333333,0.994666666666667,0.5,0.699564308853891,0,6.45242842078973,3,53.2231067844423,0.0213202074424167,0.310082033668616,1,0.0332325729350416,0.0479444681693652,0.0812780357765567,0.117259419148034,0.114414601189134,9.60075224643667e-05,346.145511122588,845.579868850622,0.00533333333333333,0.993333333333333,0.974444444444444,"SVM","SVM"
"bear",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.044,0.956,0.5,0.644881384442131,0,8.78262512223614,3,90.2769253676629,0.0211230251202015,0.453115628994286,1,0.180454370212596,0.260340625012453,0.0812780357765567,0.117259419148034,0.261402521149229,0.000329884839923228,547.02231922689,245.383058389321,0.044,0.955333333333333,0.926,"RF","SVM"
"polar",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0271111111111111,0.972888888888889,0.5,0.66876588016221,0,7.9991168241297,3,74.4924872314248,0.0212025525173958,0.472457670820489,1,0.124552020001968,0.179690581589542,0.0812780357765567,0.117259419148034,0.205483448155383,0.000346607623141295,359.345876103809,233.495811257514,0.0271111111111111,0.971111111111111,0.943777777777778,"RF","SVM"
"snow",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0593333333333333,0.940666666666667,0.5,0.623196776485744,0,8.62828386955629,3,88.2257161351097,0.0210093415651152,0.471653356671959,1,0.225129211776647,0.32479279738941,0.0812780357765567,0.117259419148034,0.305938351431559,0.000468896121644899,480.125983953307,172.339108652533,0.0595555555555556,0.942666666666667,0.909555555555556,"RF","SVM"
"tundra",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00733333333333333,0.992666666666667,0.5,0.696735881729145,0,6.64123694211008,3,55.2071873292292,0.0217598189512108,0.323913935751612,1,0.0433520959787881,0.0625438538807399,0.0812780357765567,0.117259419148034,0.124509034851178,0.000121096904166806,357.995080692339,670.181780705143,0.00733333333333333,0.994,0.986888888888889,"SVM","SVM"
"ice",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.022,0.978,0.5,0.675994082814339,0,7.81070947146713,3,70.9496319856252,0.0222192101815532,0.387984639449084,1,0.105723887714205,0.152527328508786,0.0812780357765567,0.117259419148034,0.186761925278868,0.000239998211893919,440.519480874034,337.661005576501,0.022,0.974666666666667,0.925555555555556,"RF","SVM"
"head",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0157777777777778,0.984222222222222,0.5,0.684793633869105,0,7.59427931801469,3,67.0008783723025,0.0234644683813569,0.343509410851445,1,0.0811170596371262,0.117027179669976,0.0812780357765567,0.117259419148034,0.162245677977855,0.000149417435827478,542.888848198321,542.966206664145,0.0157777777777778,0.987333333333333,0.978222222222222,"RF","SVM"
"black",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00755555555555556,0.992444444444444,0.5,0.696421612048618,0,6.67904515721984,3,55.6784633944871,0.0238393614234946,0.386889160549459,1,0.0444393964393441,0.0641124968631405,0.0812780357765567,0.117259419148034,0.125574601967403,0.000142830248497553,311.134349388922,568.053380719627,0.00755555555555556,0.994222222222222,0.992444444444444,"SVM","SVM"
"reflection",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0122222222222222,0.987777777777778,0.5,0.689821948757543,0,7.428256803229,3,64.091716554929,0.0237235167004468,0.330249022775476,1,0.0659799962435965,0.0951890133785091,0.0812780357765567,0.117259419148034,0.147137274362388,0.00012075765776498,546.383537613885,672.067342319119,0.0122222222222222,0.990222222222222,0.981333333333333,"RF","SVM"
"ground",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0133333333333333,0.986666666666667,0.5,0.688250600354906,0,7.41879116396871,3,64.5915942040546,0.0228999824561814,0.388544104810504,1,0.0708105549081957,0.10215803640865,0.0812780357765567,0.117259419148034,0.151899975460153,0.000188615224598772,375.423325761884,429.919804853791,0.0133333333333333,0.981333333333333,0.976888888888889,"RF","SVM"
"forest",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0157777777777778,0.984222222222222,0.5,0.684793633869105,0,7.53464949528362,3,66.3313009749975,0.0231153383363202,0.391001771659694,1,0.0811170596371262,0.117027179669976,0.0812780357765567,0.117259419148034,0.162203326676548,0.000191768737134355,422.99417960027,422.833608079781,0.0157777777777778,0.984444444444444,0.981333333333333,"RF","SVM"
"river",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0106666666666667,0.989333333333333,0.5,0.692021836521235,0,7.14409050328866,3,60.6529903930509,0.0239185538739739,0.340416963052755,1,0.0590429788455094,0.0851810127797283,0.0812780357765567,0.117259419148034,0.140192064783996,0.000128949838069594,457.875556335664,629.307389239922,0.0106666666666667,0.99,0.962,"RF","SVM"
"field",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.044,0.956,0.5,0.644881384442131,0,8.8438148993004,3,91.2920218624512,0.0210370408441982,0.522698008343923,1,0.180454370212596,0.260340625012453,0.0812780357765567,0.117259419148034,0.261331083617789,0.000401322371363022,449.649416751212,201.525554457655,0.0442222222222222,0.96,0.949555555555556,"RF","SVM"
"flowers",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0597777777777778,0.940222222222222,0.5,0.622568237124689,0,9.13872036560439,3,104.704137143968,0.0207910163617484,0.56400030363255,1,0.226355631911858,0.326562147636525,0.0812780357765567,0.117259419148034,0.307075626130975,0.000558041557438846,405.625045114428,144.64871503403,0.203333333333333,0.950888888888889,0.910222222222222,"RF","SVM"
"meadow",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.00333333333333333,0.996666666666667,0.5,0.702392735978637,0,5.88994029109432,3,49.0878003278286,0.0202207743424319,0.344364839565875,1,0.0223403798434845,0.0322303552117708,0.0812780357765567,0.117259419148034,0.103528052585552,9.03630344886622e-05,247.229190231405,898.461115227982,0.00333333333333333,0.997111111111111,0.995111111111111,"SVM","SVM"
"rocks",2,499,0,499,4500,0.110888888888889,0,1,2,2,2,0,1000,0.0506666666666667,0.949333333333333,0.5,0.635453294026311,0,8.57170187442572,3,86.4141680939603,0.0215725412391644,0.386783896668806,1,0.20047354387045,0.289222187571334,0.0812780357765567,0.117259419148034,0.281492413645111,0.000259166001895268,773.533343125244,312.613804211103,0.0506666666666667,0.949111111111111,0.884,"RF","SVM"
